car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh)
TOYOTA,86,1000.0,2400.0,Manual Transmission,Petrol,RHD,2WD,4 Seats,2 Doors,coupe,0,1,0,1,0,0,0,1,2022,4556566.0
AUDI,Q5,1000.0,2000.0,Automatic Transmission,Hybrid,RHD,4WD,8 Seats,5 Doors,suv,1,0,0,1,0,0,1,1,2023,6108467.0
TOYOTA,PRIUS A,62000.0,1800.0,Automatic Transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016,2347284.0
TOYOTA,COROLLA SPORT,4000.0,2000.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2023,3614516.0
GENESIS,G70,73000.0,2151.0,Automatic Transmission,Diesel,LHD,Other,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021,5677890.0
ALFA,ROMEO STELVIO,34000.0,2900.0,Automatic Transmission,Petrol,RHD,4WD,8 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2019,6036233.0
BMW,5 SERIES,64000.0,1995.0,Automatic Transmission,Diesel,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019,5391153.0
TOYOTA,PASSO X S,8000.0,1000.0,Automatic Transmission,Petrol,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2017,2272695.0
TOYOTA,YARIS,30000.0,1600.0,Manual Transmission,Petrol,RHD,4WD,4 Seats,3 Doors,hatchback,1,1,0,1,0,0,1,1,2021,5463858.0
TOYOTA,RAV4,6000.0,2500.0,Automatic Transmission,Hybrid,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2020,5435279.0
ROLLS,ROYCE CULLINAN,4000.0,4300.0,Automatic Transmission,Petrol,RHD,4WD,8 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2022,12155848.999999987
